#  x                 y             frequency           rot. str.
63.0078759845      0.663830034031      3168.76      2.62
63.5079384923      -0.0428143349002      3193.09      0.10
64.0080010001      -0.760238671774      3213.64      -0.39
64.5080635079      -1.4829383204      3248.02      -1.74
65.0081260158      -2.20537439163      3472.59      19.20
65.5081885236      -2.92159656164      3800.90      -3.85
66.0082510314       -3.62489553168
66.5083135392       -4.30753668728
67.008376047       -4.96062924211
67.5084385548       -5.57418388424
68.0085010626       -6.13740120471
68.5085635704       -6.63920798922
69.0086260783       -7.06901719514
69.5086885861       -7.41763503529
70.0087510939       -7.67818788318
70.5088136017       -7.84691093448
71.0088761095       -7.92364625698
71.5089386173       -7.91194585312
72.0090011251       -7.81875512753
72.509063633       -7.65373935522
73.0091261408       -7.42838265319
73.5091886486       -7.15501692403
74.0092511564       -6.84592480882
74.5093136642       -6.51261791273
75.009376172       -6.16533804628
75.5094386798       -5.8127814531
76.0095011876       -5.46201335678
76.5095636955       -5.11852450653
77.0096262033       -4.78637951593
77.5096887111       -4.46841350049
78.0097512189       -4.16644398589
78.5098137267       -3.88147584531
79.0098762345       -3.61388623404
79.5099387423       -3.36358342524
80.0100012502       -3.13013814835
80.510063758       -2.91288888284
81.0101262658       -2.7110240481
81.5101887736       -2.52364460427
82.0102512814       -2.34981059234
82.5103137892       -2.18857484877
83.010376297       -2.03900669901
83.5104388049       -1.90020796867
84.0105013127       -1.77132320781
84.5105638205       -1.65154563096
85.0106263283       -1.54011994332
85.5106888361       -1.43634295042
86.0107513439       -1.33956263037
86.5108138517       -1.24917617552
87.0108763595       -1.16462737719
87.5109388674       -1.08540362478
88.0110013752       -1.01103271307
88.511063883       -0.941079593333
89.0111263908       -0.875143160511
89.5111888986       -0.81285313678
90.0112514064       -0.753867088604
90.5113139142       -0.697867597536
91.0113764221       -0.644559593192
91.5114389299       -0.593667848573
92.0115014377       -0.54493463238
92.5115639455       -0.498117509526
93.0116264533       -0.452987279068
93.5116889611       -0.409326038078
94.0117514689       -0.366925360193
94.5118139767       -0.325584578716
95.0118764846       -0.28510916607
95.5119389924       -0.2453092043
96.0120015002       -0.205997945188
96.512064008       -0.166990463843
97.0121265158       -0.128102416458
97.5121890236       -0.0891489220077
98.0122515314       -0.0499435994153
98.5123140393       -0.0102978070354
99.0123765471       0.0299798489588
99.5124390549       0.0710836454692
100.012501563       0.113210388962
100.512564071       0.156558414294
101.012626578       0.201325724552
101.512689086       0.247707004016
102.012751594       0.295889172758
102.512814102       0.346045084851
103.01287661       0.398324911135
103.512939117       0.452844706923
104.013001625       0.50967166945
104.513064133       0.568805675911
105.013126641       0.630156911778
105.513189149       0.693519814728
106.013251656       0.758544240943
106.513314164       0.824705761783
107.013376672       0.891278321694
107.51343918       0.957314026809
108.013501688       1.0216363089
108.513564196       1.08285362164
109.013626703       1.13940047975
109.513689211       1.18961031431
110.013751719       1.23181985415
110.513814227       1.2644978593
