#  x                 y             frequency           rot. str.
31.5039379922      0.463659400978      1074.33      0.95
32.0040005001      0.521162948957      1078.59      9.63
32.5040630079      0.581881523638      1106.47      -77.38
33.0041255157      0.645980673037      1112.59      -9.67
33.5041880235      0.713548191393      1126.18      -3.04
34.0042505313      0.784562690316      1146.94      31.54
34.5043130391      0.858854009398      1157.54      4.37
35.0043755469      0.936054694499      1172.53      2.52
35.5044380548      1.01554248647      1173.96      11.71
36.0045005626      1.09637502783      1208.08      -7.18
36.5045630704      1.17721998401      1227.57      -4.61
37.0046255782      1.25628660682      1228.49      -46.77
37.504688086      1.33126839778      1241.87      -26.27
38.0047505938      1.39931060141      1253.48      7.19
38.5048131016      1.45701993839      1261.29      -1.90
39.0048756095      1.5005358647      1272.16      43.46
39.5049381173      1.52568084588      1281.51      -6.33
40.0050006251      1.52819982921      1292.06      8.61
40.5050631329      1.50408540211      1300.76      -0.39
41.0051256407      1.44996624215      1312.75      29.61
41.5051881485      1.36351637281      1331.33      -4.25
42.0052506563      1.24382766663      1334.30      -4.35
42.5053131641      1.0916842894      1343.21      -9.56
43.005375672      0.909688608113      1352.86      -3.08
43.5054381798      0.702211396476      1353.58      -8.23
44.0055006876      0.475167889855      1362.29      12.26
44.5055631954      0.235646632278      1377.41      5.25
45.0056257032      -0.0085659052837      1380.39      -20.71
45.505688211      -0.249516024198      1381.16      2.78
46.0057507188      -0.479620413604      1388.62      25.84
46.5058132267      -0.692164646075      1400.79      -39.43
47.0058757345      -0.881718793361      1402.84      -17.28
47.5059382423      -1.04443048965      1424.34      -34.53
48.0060007501      -1.1781655439      1467.97      -13.68
48.5060632579      -1.28248394744      1477.21      -2.05
49.0061257657      -1.35846283606      1491.26      -5.29
49.5061882735      -1.40840151893      1492.04      3.85
50.0062507813      -1.43545980478      1498.38      7.54
50.5063132892      -1.44328487527      1500.82      -2.37
51.006375797      -1.43567392392      1503.84      -9.40
51.5064383048      -1.41630383954      1510.18      21.28
52.0065008126      -1.3885411471      1511.29      -11.54
52.5065633204      -1.35533008161      1545.06      -2.95
53.0066258282      -1.31914661792      1609.25      -8.21
53.506688336      -1.282001764      1631.74      13.88
54.0067508439      -1.24547723873      1661.90      -26.82
54.5068133517      -1.21077908327      2209.97      -0.33
55.0068758595      -1.17879826388      2999.73      12.36
55.5069383673      -1.15017085472      3008.40      2.23
56.0070008751      -1.12533337178      3018.66      -0.25
56.5070633829      -1.10457106864      3031.03      2.38
57.0071258907      -1.08805852534      3045.62      -40.07
57.5071883985      -1.07589279539      3050.95      7.14
58.0072509064      -1.06811987657      3061.52      26.65
58.5073134142      -1.06475548184      3063.39      -1.49
59.007375922      -1.06580111693      3063.86      -19.11
59.5074384298      -1.07125640247      3069.98      12.68
60.0075009376      -1.08112846126      3074.53      29.49
60.5075634454      -1.09543906024      3088.63      -51.15
61.0076259532      -1.1142300679      3094.06      38.36
61.5076884611      -1.13756767149      3118.24      1.81
62.0077509689      -1.16554569682      3135.08      1.21
62.5078134767      -1.1982882865      3137.77      -0.73
63.0078759845      -1.23595211817      3172.72      4.80
63.5079384923      -1.27872827949      3187.07      0.14
64.0080010001      -1.32684385765      3203.17      -0.16
64.5080635079      -1.38056324437      3254.22      -0.30
65.0081260158      -1.4401890992      3470.27      -0.93
65.5081885236      -1.50606284924      3802.03      -3.08
66.0082510314       -1.57856452906
66.5083135392       -1.65811167468
67.008376047       -1.74515687622
